,Meta Data,Technical Analysis: EMA
2011-09-13,,{'EMA': '20.3099'}
2011-09-12,,{'EMA': '20.2833'}
2011-09-09,,{'EMA': '20.2792'}
2011-09-08,,{'EMA': '20.2432'}
2011-09-07,,{'EMA': '20.2036'}
2011-09-06,,{'EMA': '20.1847'}
2011-09-02,,{'EMA': '20.2028'}
2011-09-01,,{'EMA': '20.1767'}
2011-08-31,,{'EMA': '20.0940'}
2011-08-30,,{'EMA': '20.0165'}
2011-08-29,,{'EMA': '19.9757'}
2011-08-26,,{'EMA': '19.9467'}
2011-08-25,,{'EMA': '19.9957'}
2011-08-24,,{'EMA': '20.0044'}
2011-08-23,,{'EMA': '20.0482'}
2011-08-22,,{'EMA': '20.1455'}
2011-08-19,,{'EMA': '20.2216'}
2011-08-18,,{'EMA': '20.3061'}
2011-08-17,,{'EMA': '20.3863'}
2011-08-16,,{'EMA': '20.4206'}
2011-08-15,,{'EMA': '20.4611'}
2011-08-12,,{'EMA': '20.5162'}
2011-08-11,,{'EMA': '20.5855'}
2011-08-10,,{'EMA': '20.7115'}
2011-08-09,,{'EMA': '20.8145'}
2011-08-08,,{'EMA': '20.9468'}
2011-08-05,,{'EMA': '21.0678'}
2011-08-04,,{'EMA': '21.1260'}
2011-08-03,,{'EMA': '21.1459'}
2011-08-02,,{'EMA': '21.1441'}
2011-08-01,,{'EMA': '21.1302'}
2011-07-29,,{'EMA': '21.0732'}
2011-07-28,,{'EMA': '21.0097'}
2011-07-27,,{'EMA': '20.9580'}
2011-07-26,,{'EMA': '20.8545'}
2011-07-25,,{'EMA': '20.7455'}
2011-07-22,,{'EMA': '20.6697'}
2011-07-21,,{'EMA': '20.6179'}
2011-07-20,,{'EMA': '20.5467'}
2011-07-19,,{'EMA': '20.4495'}
2011-07-18,,{'EMA': '20.3796'}
2011-07-15,,{'EMA': '20.3169'}
2011-07-14,,{'EMA': '20.2606'}
2011-07-13,,{'EMA': '20.1868'}
2011-07-12,,{'EMA': '20.1073'}
2011-07-11,,{'EMA': '20.0237'}
2011-07-08,,{'EMA': '19.9262'}
2011-07-07,,{'EMA': '19.8253'}
2011-07-06,,{'EMA': '19.7182'}
2011-07-05,,{'EMA': '19.6415'}
2011-07-01,,{'EMA': '19.5468'}
2011-06-30,,{'EMA': '19.4561'}
2011-06-29,,{'EMA': '19.3712'}
2011-06-28,,{'EMA': '19.2803'}
2011-06-27,,{'EMA': '19.2126'}
2011-06-24,,{'EMA': '19.2226'}
2011-06-23,,{'EMA': '19.2114'}
2011-06-22,,{'EMA': '19.2047'}
2011-06-21,,{'EMA': '19.1847'}
2011-06-20,,{'EMA': '19.1689'}
2011-06-17,,{'EMA': '19.1793'}
2011-06-16,,{'EMA': '19.1867'}
2011-06-15,,{'EMA': '19.2319'}
2011-06-14,,{'EMA': '19.2619'}
2011-06-13,,{'EMA': '19.2713'}
2011-06-10,,{'EMA': '19.3218'}
2011-06-09,,{'EMA': '19.3592'}
2011-06-08,,{'EMA': '19.4012'}
2011-06-07,,{'EMA': '19.4560'}
2011-06-06,,{'EMA': '19.5013'}
2011-06-03,,{'EMA': '19.5543'}
2011-06-02,,{'EMA': '19.6127'}
2011-06-01,,{'EMA': '19.6421'}
2011-05-31,,{'EMA': '19.6350'}
2011-05-27,,{'EMA': '19.6297'}
2011-05-26,,{'EMA': '19.6458'}
2011-05-25,,{'EMA': '19.6896'}
2011-05-24,,{'EMA': '19.7520'}
2011-05-23,,{'EMA': '19.8182'}
2011-05-20,,{'EMA': '19.8903'}
2011-05-19,,{'EMA': '19.9294'}
2011-05-18,,{'EMA': '19.9621'}
2011-05-17,,{'EMA': '20.0233'}
2011-05-16,,{'EMA': '20.1014'}
2011-05-13,,{'EMA': '20.1554'}
2011-05-12,,{'EMA': '20.1897'}
2011-05-11,,{'EMA': '20.2219'}
2011-05-10,,{'EMA': '20.2339'}
2011-05-09,,{'EMA': '20.2683'}
2011-05-06,,{'EMA': '20.2731'}
2011-05-05,,{'EMA': '20.2573'}
2011-05-04,,{'EMA': '20.2415'}
2011-05-03,,{'EMA': '20.2398'}
2011-05-02,,{'EMA': '20.2575'}
2011-04-29,,{'EMA': '20.2503'}
2011-04-28,,{'EMA': '20.1946'}
2011-04-27,,{'EMA': '20.1403'}
2011-04-26,,{'EMA': '20.0932'}
2011-04-25,,{'EMA': '20.0853'}
2011-04-21,,{'EMA': '20.0906'}
2011-04-20,,{'EMA': '20.0785'}
2011-04-19,,{'EMA': '20.0848'}
2011-04-18,,{'EMA': '20.1340'}
2011-04-15,,{'EMA': '20.1803'}
2011-04-14,,{'EMA': '20.2030'}
2011-04-13,,{'EMA': '20.2311'}
2011-04-12,,{'EMA': '20.2440'}
2011-04-11,,{'EMA': '20.2441'}
2011-04-08,,{'EMA': '20.2160'}
2011-04-07,,{'EMA': '20.1866'}
2011-04-06,,{'EMA': '20.1529'}
2011-04-05,,{'EMA': '20.1321'}
2011-04-04,,{'EMA': '20.1218'}
2011-04-01,,{'EMA': '20.1395'}
2011-03-31,,{'EMA': '20.1526'}
2011-03-30,,{'EMA': '20.1616'}
2011-03-29,,{'EMA': '20.1715'}
2011-03-28,,{'EMA': '20.2027'}
2011-03-25,,{'EMA': '20.2120'}
2011-03-24,,{'EMA': '20.2010'}
2011-03-23,,{'EMA': '20.2148'}
2011-03-22,,{'EMA': '20.2590'}
2011-03-21,,{'EMA': '20.3021'}
2011-03-18,,{'EMA': '20.3590'}
2011-03-17,,{'EMA': '20.4309'}
2011-03-16,,{'EMA': '20.5100'}
2011-03-15,,{'EMA': '20.5845'}
2011-03-14,,{'EMA': '20.6774'}
2011-03-11,,{'EMA': '20.7475'}
2011-03-10,,{'EMA': '20.8308'}
2011-03-09,,{'EMA': '20.9061'}
2011-03-08,,{'EMA': '20.9739'}
2011-03-07,,{'EMA': '21.0517'}
2011-03-04,,{'EMA': '21.1091'}
2011-03-03,,{'EMA': '21.1651'}
2011-03-02,,{'EMA': '21.2236'}
2011-03-01,,{'EMA': '21.2997'}
2011-02-28,,{'EMA': '21.3450'}
2011-02-25,,{'EMA': '21.3878'}
2011-02-24,,{'EMA': '21.4176'}
2011-02-23,,{'EMA': '21.4715'}
2011-02-22,,{'EMA': '21.5395'}
2011-02-18,,{'EMA': '21.5947'}
2011-02-17,,{'EMA': '21.6280'}
2011-02-16,,{'EMA': '21.6771'}
2011-02-15,,{'EMA': '21.7249'}
2011-02-14,,{'EMA': '21.7782'}
2011-02-11,,{'EMA': '21.8366'}
2011-02-10,,{'EMA': '21.8575'}
2011-02-09,,{'EMA': '21.8672'}
2011-02-08,,{'EMA': '21.8577'}
2011-02-07,,{'EMA': '21.8543'}
2011-02-04,,{'EMA': '21.8739'}
2011-02-03,,{'EMA': '21.9032'}
2011-02-02,,{'EMA': '21.9148'}
2011-02-01,,{'EMA': '21.9303'}
2011-01-31,,{'EMA': '21.9575'}
2011-01-28,,{'EMA': '21.9897'}
2011-01-27,,{'EMA': '21.9375'}
2011-01-26,,{'EMA': '21.8914'}
2011-01-25,,{'EMA': '21.8594'}
2011-01-24,,{'EMA': '21.8529'}
2011-01-21,,{'EMA': '21.8552'}
2011-01-20,,{'EMA': '21.8282'}
2011-01-19,,{'EMA': '21.7906'}
2011-01-18,,{'EMA': '21.7524'}
2011-01-14,,{'EMA': '21.7337'}
2011-01-13,,{'EMA': '21.7194'}
2011-01-12,,{'EMA': '21.6842'}
2011-01-11,,{'EMA': '21.6619'}
2011-01-10,,{'EMA': '21.6311'}
2011-01-07,,{'EMA': '21.5925'}
2011-01-06,,{'EMA': '21.5204'}
2011-01-05,,{'EMA': '21.4879'}
2011-01-04,,{'EMA': '21.4631'}
2011-01-03,,{'EMA': '21.4326'}
2010-12-31,,{'EMA': '21.3905'}
2010-12-30,,{'EMA': '21.3637'}
2010-12-29,,{'EMA': '21.3249'}
2010-12-28,,{'EMA': '21.2807'}
2010-12-27,,{'EMA': '21.2296'}
2010-12-23,,{'EMA': '21.1618'}
2010-12-22,,{'EMA': '21.0989'}
2010-12-21,,{'EMA': '21.0266'}
2010-12-20,,{'EMA': '20.9595'}
2010-12-17,,{'EMA': '20.8779'}
2010-12-16,,{'EMA': '20.7905'}
2010-12-15,,{'EMA': '20.7068'}
2010-12-14,,{'EMA': '20.6326'}
2010-12-13,,{'EMA': '20.5682'}
2010-12-10,,{'EMA': '20.5005'}
2010-12-09,,{'EMA': '20.4322'}
2010-12-08,,{'EMA': '20.3501'}
2010-12-07,,{'EMA': '20.2948'}
2010-12-06,,{'EMA': '20.2145'}
2010-12-03,,{'EMA': '20.1379'}
2010-12-02,,{'EMA': '20.0630'}
2010-12-01,,{'EMA': '20.0249'}
2010-11-30,,{'EMA': '20.0353'}
2010-11-29,,{'EMA': '20.0872'}
2010-11-26,,{'EMA': '20.1335'}
2010-11-24,,{'EMA': '20.1827'}
2010-11-23,,{'EMA': '20.2377'}
2010-11-22,,{'EMA': '20.2694'}
2010-11-19,,{'EMA': '20.2980'}
2010-11-18,,{'EMA': '20.3177'}
2010-11-17,,{'EMA': '20.3465'}
2010-11-16,,{'EMA': '20.3633'}
2010-11-15,,{'EMA': '20.3709'}
2010-11-12,,{'EMA': '20.3693'}
2010-11-11,,{'EMA': '20.3567'}
2010-11-10,,{'EMA': '20.3266'}
2010-11-09,,{'EMA': '20.2679'}
2010-11-08,,{'EMA': '20.2188'}
2010-11-05,,{'EMA': '20.1749'}
2010-11-04,,{'EMA': '20.0887'}
2010-11-03,,{'EMA': '19.9752'}
2010-11-02,,{'EMA': '19.8566'}
2010-11-01,,{'EMA': '19.7471'}
2010-10-29,,{'EMA': '19.6405'}
2010-10-28,,{'EMA': '19.5024'}
2010-10-27,,{'EMA': '19.4233'}
2010-10-26,,{'EMA': '19.3687'}
2010-10-25,,{'EMA': '19.3606'}
2010-10-22,,{'EMA': '19.3423'}
2010-10-21,,{'EMA': '19.3099'}
2010-10-20,,{'EMA': '19.2703'}
2010-10-19,,{'EMA': '19.2415'}
2010-10-18,,{'EMA': '19.2091'}
2010-10-15,,{'EMA': '19.1486'}
2010-10-14,,{'EMA': '19.0998'}
2010-10-13,,{'EMA': '19.0517'}
2010-10-12,,{'EMA': '19.0196'}
2010-10-11,,{'EMA': '19.0129'}
2010-10-08,,{'EMA': '18.9986'}
2010-10-07,,{'EMA': '18.9922'}
2010-10-06,,{'EMA': '18.9851'}
2010-10-05,,{'EMA': '19.0006'}
2010-10-04,,{'EMA': '19.0493'}
2010-10-01,,{'EMA': '19.0991'}
2010-09-30,,{'EMA': '19.1128'}
2010-09-29,,{'EMA': '19.1185'}
2010-09-28,,{'EMA': '19.1233'}
2010-09-27,,{'EMA': '19.1154'}
2010-09-24,,{'EMA': '19.1037'}
2010-09-23,,{'EMA': '19.1062'}
2010-09-22,,{'EMA': '19.1190'}
2010-09-21,,{'EMA': '19.1038'}
2010-09-20,,{'EMA': '19.0459'}
2010-09-17,,{'EMA': '18.9931'}
2010-09-16,,{'EMA': '18.9257'}
2010-09-15,,{'EMA': '18.8780'}
2010-09-14,,{'EMA': '18.8223'}
2010-09-13,,{'EMA': '18.7657'}
2010-09-10,,{'EMA': '18.7685'}
2010-09-09,,{'EMA': '18.7887'}
2010-09-08,,{'EMA': '18.7945'}
2010-09-07,,{'EMA': '18.8103'}
2010-09-03,,{'EMA': '18.8253'}
2010-09-02,,{'EMA': '18.8309'}
2010-09-01,,{'EMA': '18.8650'}
2010-08-31,,{'EMA': '18.9188'}
2010-08-30,,{'EMA': '18.9834'}
2010-08-27,,{'EMA': '19.0436'}
2010-08-26,,{'EMA': '19.0990'}
2010-08-25,,{'EMA': '19.1436'}
2010-08-24,,{'EMA': '19.1997'}
2010-08-23,,{'EMA': '19.2544'}
2010-08-20,,{'EMA': '19.2875'}
2010-08-19,,{'EMA': '19.3340'}
2010-08-18,,{'EMA': '19.3611'}
2010-08-17,,{'EMA': '19.3862'}
2010-08-16,,{'EMA': '19.4116'}
2010-08-13,,{'EMA': '19.4765'}
2010-08-12,,{'EMA': '19.5486'}
2010-08-11,,{'EMA': '19.6226'}
2010-08-10,,{'EMA': '19.6839'}
2010-08-09,,{'EMA': '19.7013'}
2010-08-06,,{'EMA': '19.7035'}
2010-08-05,,{'EMA': '19.7344'}
2010-08-04,,{'EMA': '19.7445'}
2010-08-03,,{'EMA': '19.7048'}
2010-08-02,,{'EMA': '19.6573'}
2010-07-30,,{'EMA': '19.6212'}
2010-07-29,,{'EMA': '19.6000'}
2010-07-28,,{'EMA': '19.5473'}
2010-07-27,,{'EMA': '19.4941'}
2010-07-26,,{'EMA': '19.4301'}
2010-07-23,,{'EMA': '19.3813'}
2010-07-22,,{'EMA': '19.3291'}
2010-07-21,,{'EMA': '19.2972'}
2010-07-20,,{'EMA': '19.2551'}
2010-07-19,,{'EMA': '19.2658'}
2010-07-16,,{'EMA': '19.2699'}
2010-07-15,,{'EMA': '19.2321'}
2010-07-14,,{'EMA': '19.1912'}
2010-07-13,,{'EMA': '19.1462'}
2010-07-12,,{'EMA': '19.1245'}
2010-07-09,,{'EMA': '19.1552'}
2010-07-08,,{'EMA': '19.1968'}
2010-07-07,,{'EMA': '19.2217'}
2010-07-06,,{'EMA': '19.3092'}
2010-07-02,,{'EMA': '19.4146'}
2010-07-01,,{'EMA': '19.5568'}
2010-06-30,,{'EMA': '19.7340'}
2010-06-29,,{'EMA': '19.9128'}
2010-06-28,,{'EMA': '20.0455'}
2010-06-25,,{'EMA': '20.1622'}
2010-06-24,,{'EMA': '20.2490'}
2010-06-23,,{'EMA': '20.3129'}
2010-06-22,,{'EMA': '20.3586'}
2010-06-21,,{'EMA': '20.3795'}
2010-06-18,,{'EMA': '20.3548'}
2010-06-17,,{'EMA': '20.3591'}
2010-06-16,,{'EMA': '20.3493'}
2010-06-15,,{'EMA': '20.3455'}
2010-06-14,,{'EMA': '20.3967'}
2010-06-11,,{'EMA': '20.4445'}
2010-06-10,,{'EMA': '20.5603'}
2010-06-09,,{'EMA': '20.6807'}
2010-06-08,,{'EMA': '20.8063'}
2010-06-07,,{'EMA': '20.9421'}
2010-06-04,,{'EMA': '21.0475'}
2010-06-03,,{'EMA': '21.1420'}
2010-06-02,,{'EMA': '21.2112'}
2010-06-01,,{'EMA': '21.3251'}
2010-05-28,,{'EMA': '21.4912'}
2010-05-27,,{'EMA': '21.6501'}
2010-05-26,,{'EMA': '21.8333'}
2010-05-25,,{'EMA': '21.9963'}
2010-05-24,,{'EMA': '22.2203'}
2010-05-21,,{'EMA': '22.3742'}
2010-05-20,,{'EMA': '22.5605'}
2010-05-19,,{'EMA': '22.6869'}
2010-05-18,,{'EMA': '22.7589'}
2010-05-17,,{'EMA': '22.8111'}
2010-05-14,,{'EMA': '22.8595'}
2010-05-13,,{'EMA': '22.9065'}
2010-05-12,,{'EMA': '22.9537'}
2010-05-11,,{'EMA': '23.0270'}
2010-05-10,,{'EMA': '23.1307'}
2010-05-07,,{'EMA': '23.2194'}
2010-05-06,,{'EMA': '23.3231'}
2010-05-05,,{'EMA': '23.3867'}
2010-05-04,,{'EMA': '23.4427'}
2010-05-03,,{'EMA': '23.4469'}
2010-04-30,,{'EMA': '23.4400'}
2010-04-29,,{'EMA': '23.4017'}
2010-04-28,,{'EMA': '23.3703'}
2010-04-27,,{'EMA': '23.3366'}
2010-04-26,,{'EMA': '23.2971'}
2010-04-23,,{'EMA': '23.2499'}
2010-04-22,,{'EMA': '23.1888'}
2010-04-21,,{'EMA': '23.1277'}
2010-04-20,,{'EMA': '23.0383'}
2010-04-19,,{'EMA': '22.9483'}
2010-04-16,,{'EMA': '22.8839'}
2010-04-15,,{'EMA': '22.8114'}
2010-04-14,,{'EMA': '22.7295'}
2010-04-13,,{'EMA': '22.6416'}
2010-04-12,,{'EMA': '22.5940'}
2010-04-09,,{'EMA': '22.5340'}
2010-04-08,,{'EMA': '22.4910'}
2010-04-07,,{'EMA': '22.4920'}
2010-04-06,,{'EMA': '22.5054'}
2010-04-05,,{'EMA': '22.5209'}
2010-04-01,,{'EMA': '22.5394'}
2010-03-31,,{'EMA': '22.5430'}
2010-03-30,,{'EMA': '22.5247'}
2010-03-29,,{'EMA': '22.5052'}
2010-03-26,,{'EMA': '22.4778'}
2010-03-25,,{'EMA': '22.4184'}
2010-03-24,,{'EMA': '22.3707'}
2010-03-23,,{'EMA': '22.3291'}
2010-03-22,,{'EMA': '22.2932'}
2010-03-19,,{'EMA': '22.2606'}
2010-03-18,,{'EMA': '22.2048'}
2010-03-17,,{'EMA': '22.1536'}
2010-03-16,,{'EMA': '22.1071'}
2010-03-15,,{'EMA': '22.0620'}
2010-03-12,,{'EMA': '22.0308'}
2010-03-11,,{'EMA': '21.9858'}
2010-03-10,,{'EMA': '21.9693'}
2010-03-09,,{'EMA': '21.9534'}
2010-03-08,,{'EMA': '21.9589'}
2010-03-05,,{'EMA': '21.9680'}
2010-03-04,,{'EMA': '21.9673'}
2010-03-03,,{'EMA': '21.9819'}
2010-03-02,,{'EMA': '21.9941'}
2010-03-01,,{'EMA': '21.9638'}
2010-02-26,,{'EMA': '21.9542'}
2010-02-25,,{'EMA': '21.9529'}
2010-02-24,,{'EMA': '21.9806'}
2010-02-23,,{'EMA': '21.9919'}
2010-02-22,,{'EMA': '21.9921'}
2010-02-19,,{'EMA': '21.9800'}
2010-02-18,,{'EMA': '21.9705'}
2010-02-17,,{'EMA': '21.9755'}
2010-02-16,,{'EMA': '21.9855'}
2010-02-12,,{'EMA': '22.0272'}
2010-02-11,,{'EMA': '22.1073'}
2010-02-10,,{'EMA': '22.1863'}
2010-02-09,,{'EMA': '22.2656'}
2010-02-08,,{'EMA': '22.3573'}
2010-02-05,,{'EMA': '22.4552'}
2010-02-04,,{'EMA': '22.5636'}
2010-02-03,,{'EMA': '22.6539'}
2010-02-02,,{'EMA': '22.7624'}
2010-02-01,,{'EMA': '22.8733'}
2010-01-29,,{'EMA': '22.9937'}
2010-01-28,,{'EMA': '23.0110'}
2010-01-27,,{'EMA': '23.0346'}
2010-01-26,,{'EMA': '23.0979'}
2010-01-25,,{'EMA': '23.1790'}
2010-01-22,,{'EMA': '23.2652'}
2010-01-21,,{'EMA': '23.3020'}
2010-01-20,,{'EMA': '23.2959'}
2010-01-19,,{'EMA': '23.2739'}
2010-01-15,,{'EMA': '23.2543'}
2010-01-14,,{'EMA': '23.2076'}
2010-01-13,,{'EMA': '23.2149'}
2010-01-12,,{'EMA': '23.2268'}
2010-01-11,,{'EMA': '23.2483'}
2010-01-08,,{'EMA': '23.2292'}
2010-01-07,,{'EMA': '23.2411'}
2010-01-06,,{'EMA': '23.2273'}
2010-01-05,,{'EMA': '23.1932'}
2010-01-04,,{'EMA': '23.1579'}
2009-12-31,,{'EMA': '23.1366'}
2009-12-30,,{'EMA': '23.0857'}
2009-12-29,,{'EMA': '23.0168'}
2009-12-28,,{'EMA': '22.9257'}
2009-12-24,,{'EMA': '22.8522'}
2009-12-23,,{'EMA': '22.7805'}
2009-12-22,,{'EMA': '22.7146'}
2009-12-21,,{'EMA': '22.6506'}
2009-12-18,,{'EMA': '22.5954'}
2009-12-17,,{'EMA': '22.5774'}
2009-12-16,,{'EMA': '22.5492'}
2009-12-15,,{'EMA': '22.5090'}
2009-12-14,,{'EMA': '22.4786'}
2009-12-11,,{'EMA': '22.4436'}
2009-12-10,,{'EMA': '22.4005'}
2009-12-09,,{'EMA': '22.3729'}
2009-12-08,,{'EMA': '22.3609'}
2009-12-07,,{'EMA': '22.3439'}
2009-12-04,,{'EMA': '22.3054'}
2009-12-03,,{'EMA': '22.2423'}
2009-12-02,,{'EMA': '22.1891'}
2009-12-01,,{'EMA': '22.1259'}
2009-11-30,,{'EMA': '22.0853'}
2009-11-27,,{'EMA': '22.0690'}
2009-11-25,,{'EMA': '22.0541'}
2009-11-24,,{'EMA': '21.9843'}
2009-11-23,,{'EMA': '21.8968'}
2009-11-20,,{'EMA': '21.8089'}
2009-11-19,,{'EMA': '21.7260'}
2009-11-18,,{'EMA': '21.6097'}
2009-11-17,,{'EMA': '21.4809'}
2009-11-16,,{'EMA': '21.3774'}
2009-11-13,,{'EMA': '21.2649'}
2009-11-12,,{'EMA': '21.1518'}
2009-11-11,,{'EMA': '21.0624'}
2009-11-10,,{'EMA': '20.9587'}
2009-11-09,,{'EMA': '20.8583'}
2009-11-06,,{'EMA': '20.7691'}
2009-11-05,,{'EMA': '20.6893'}
2009-11-04,,{'EMA': '20.5908'}
2009-11-03,,{'EMA': '20.5456'}
2009-11-02,,{'EMA': '20.4997'}
2009-10-30,,{'EMA': '20.4446'}
2009-10-29,,{'EMA': '20.3589'}
2009-10-28,,{'EMA': '20.2616'}
2009-10-27,,{'EMA': '20.1416'}
2009-10-26,,{'EMA': '19.9724'}
2009-10-23,,{'EMA': '19.8323'}
2009-10-22,,{'EMA': '19.5965'}
2009-10-21,,{'EMA': '19.5377'}
2009-10-20,,{'EMA': '19.4806'}
2009-10-19,,{'EMA': '19.4209'}
2009-10-16,,{'EMA': '19.3499'}
2009-10-15,,{'EMA': '19.2748'}
2009-10-14,,{'EMA': '19.2340'}
2009-10-13,,{'EMA': '19.1708'}
2009-10-12,,{'EMA': '19.1432'}
2009-10-09,,{'EMA': '19.1075'}
2009-10-08,,{'EMA': '19.0750'}
2009-10-07,,{'EMA': '19.0492'}
2009-10-06,,{'EMA': '19.0550'}
2009-10-05,,{'EMA': '19.0850'}
2009-10-02,,{'EMA': '19.0951'}
2009-10-01,,{'EMA': '19.1461'}
2009-09-30,,{'EMA': '19.1301'}
2009-09-29,,{'EMA': '19.0855'}
2009-09-28,,{'EMA': '19.0250'}
2009-09-25,,{'EMA': '18.9820'}
2009-09-24,,{'EMA': '18.9279'}
2009-09-23,,{'EMA': '18.8509'}
2009-09-22,,{'EMA': '18.7661'}
2009-09-21,,{'EMA': '18.7125'}
2009-09-18,,{'EMA': '18.6755'}
2009-09-17,,{'EMA': '18.6082'}
2009-09-16,,{'EMA': '18.5646'}
2009-09-15,,{'EMA': '18.5021'}
2009-09-14,,{'EMA': '18.4548'}
2009-09-11,,{'EMA': '18.4269'}
2009-09-10,,{'EMA': '18.3751'}
2009-09-09,,{'EMA': '18.3279'}
2009-09-08,,{'EMA': '18.2806'}
2009-09-04,,{'EMA': '18.2376'}
2009-09-03,,{'EMA': '18.2307'}
2009-09-02,,{'EMA': '18.2367'}
2009-09-01,,{'EMA': '18.2501'}
2009-08-31,,{'EMA': '18.2247'}
2009-08-28,,{'EMA': '18.1799'}
2009-08-27,,{'EMA': '18.0927'}
2009-08-26,,{'EMA': '18.0469'}
2009-08-25,,{'EMA': '17.9829'}
2009-08-24,,{'EMA': '17.9117'}
2009-08-21,,{'EMA': '17.8478'}
2009-08-20,,{'EMA': '17.8141'}
2009-08-19,,{'EMA': '17.8020'}
2009-08-18,,{'EMA': '17.8153'}
2009-08-17,,{'EMA': '17.8269'}
2009-08-14,,{'EMA': '17.8471'}
2009-08-13,,{'EMA': '17.8436'}
2009-08-12,,{'EMA': '17.8420'}
2009-08-11,,{'EMA': '17.8781'}
2009-08-10,,{'EMA': '17.9034'}
2009-08-07,,{'EMA': '17.9207'}
2009-08-06,,{'EMA': '17.9177'}
2009-08-05,,{'EMA': '17.9009'}
2009-08-04,,{'EMA': '17.8892'}
2009-08-03,,{'EMA': '17.8884'}
2009-07-31,,{'EMA': '17.8770'}
2009-07-30,,{'EMA': '17.8682'}
2009-07-29,,{'EMA': '17.8260'}
2009-07-28,,{'EMA': '17.8151'}
2009-07-27,,{'EMA': '17.8591'}
2009-07-24,,{'EMA': '17.8734'}
2009-07-23,,{'EMA': '17.8764'}
2009-07-22,,{'EMA': '17.7798'}
2009-07-21,,{'EMA': '17.6955'}
2009-07-20,,{'EMA': '17.5991'}
2009-07-17,,{'EMA': '17.5118'}
2009-07-16,,{'EMA': '17.4189'}
2009-07-15,,{'EMA': '17.3522'}
2009-07-14,,{'EMA': '17.2924'}
2009-07-13,,{'EMA': '17.2682'}
2009-07-10,,{'EMA': '17.3006'}
2009-07-09,,{'EMA': '17.3535'}
2009-07-08,,{'EMA': '17.3770'}
2009-07-07,,{'EMA': '17.4286'}
2009-07-06,,{'EMA': '17.4271'}
2009-07-02,,{'EMA': '17.4156'}
2009-07-01,,{'EMA': '17.3614'}
2009-06-30,,{'EMA': '17.2799'}
2009-06-29,,{'EMA': '17.1963'}
2009-06-26,,{'EMA': '17.1322'}
2009-06-25,,{'EMA': '17.0641'}
2009-06-24,,{'EMA': '16.9997'}
2009-06-23,,{'EMA': '16.9273'}
2009-06-22,,{'EMA': '16.8530'}
2009-06-19,,{'EMA': '16.7282'}
2009-06-18,,{'EMA': '16.5841'}
2009-06-17,,{'EMA': '16.4574'}
2009-06-16,,{'EMA': '16.3270'}
2009-06-15,,{'EMA': '16.1859'}
2009-06-12,,{'EMA': '16.0488'}
2009-06-11,,{'EMA': '15.9229'}
2009-06-10,,{'EMA': '15.8079'}
2009-06-09,,{'EMA': '15.7131'}
2009-06-08,,{'EMA': '15.6172'}
2009-06-05,,{'EMA': '15.5177'}
2009-06-04,,{'EMA': '15.4097'}
2009-06-03,,{'EMA': '15.3054'}
2009-06-02,,{'EMA': '15.2253'}
2009-06-01,,{'EMA': '15.1335'}
2009-05-29,,{'EMA': '15.0597'}
2009-05-28,,{'EMA': '15.0118'}
2009-05-27,,{'EMA': '14.9772'}
2009-05-26,,{'EMA': '14.9444'}
2009-05-22,,{'EMA': '14.9621'}
2009-05-21,,{'EMA': '14.9520'}
2009-05-20,,{'EMA': '14.9250'}
2009-05-19,,{'EMA': '14.8750'}
2009-05-18,,{'EMA': '14.8123'}
2009-05-15,,{'EMA': '14.7646'}
2009-05-14,,{'EMA': '14.7293'}
2009-05-13,,{'EMA': '14.7131'}
2009-05-12,,{'EMA': '14.6882'}
2009-05-11,,{'EMA': '14.6919'}
2009-05-08,,{'EMA': '14.7192'}
2009-05-07,,{'EMA': '14.7297'}
2009-05-06,,{'EMA': '14.7037'}
2009-05-05,,{'EMA': '14.6676'}
2009-05-04,,{'EMA': '14.6219'}
2009-05-01,,{'EMA': '14.5544'}
2009-04-30,,{'EMA': '14.4936'}
2009-04-29,,{'EMA': '14.3959'}
2009-04-28,,{'EMA': '14.3253'}
2009-04-27,,{'EMA': '14.2371'}
2009-04-24,,{'EMA': '14.1176'}
2009-04-23,,{'EMA': '14.0409'}
2009-04-22,,{'EMA': '14.0241'}
2009-04-21,,{'EMA': '14.0177'}
2009-04-20,,{'EMA': '14.0234'}
2009-04-17,,{'EMA': '14.0071'}
2009-04-16,,{'EMA': '13.9295'}
2009-04-15,,{'EMA': '13.8836'}
2009-04-14,,{'EMA': '13.8293'}
2009-04-13,,{'EMA': '13.7524'}
2009-04-09,,{'EMA': '13.6489'}
2009-04-08,,{'EMA': '13.5531'}
2009-04-07,,{'EMA': '13.4839'}
2009-04-06,,{'EMA': '13.4234'}
2009-04-03,,{'EMA': '13.3734'}
2009-04-02,,{'EMA': '13.2741'}
2009-04-01,,{'EMA': '13.1371'}
2009-03-31,,{'EMA': '13.0818'}
2009-03-30,,{'EMA': '13.0510'}
2009-03-27,,{'EMA': '13.0239'}
2009-03-26,,{'EMA': '12.9337'}
2009-03-25,,{'EMA': '12.8626'}
2009-03-24,,{'EMA': '12.7986'}
2009-03-23,,{'EMA': '12.7237'}
2009-03-20,,{'EMA': '12.6916'}
2009-03-19,,{'EMA': '12.6601'}
2009-03-18,,{'EMA': '12.6216'}
2009-03-17,,{'EMA': '12.6049'}
2009-03-16,,{'EMA': '12.6395'}
2009-03-13,,{'EMA': '12.6433'}
2009-03-12,,{'EMA': '12.6318'}
2009-03-11,,{'EMA': '12.6175'}
2009-03-10,,{'EMA': '12.6304'}
